what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340325999410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340326000420
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340326139972
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340326140790
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340326187868
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340326190095
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1340326192217
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1340326192268
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1340326194783
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340326195412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340326195736
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340326196028
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1340326198326
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1340326198360
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340326202861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340326205800
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340326206742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340326207011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340326212855
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340326219452
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1340326219878
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1340326219950
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340326219963
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1340326221393
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340326224804
started,bundle,org.eclipse.wst.xsl.launching,1.0.200.v201103081922,"org.eclipse.wst.xsl.launching",1340326225926
started,bundle,org.eclipse.wst.xsl.jaxp.launching,1.0.200.v201103081922,"org.eclipse.wst.xsl.jaxp.launching",1340326225943
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1340326226749
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1340326226770
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1340326230603
closed,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1340326230603
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340326233001
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340326238841
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1340326239405
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1340326239503
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1340326239808
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340326239951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340326239971
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340326240944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340326254039
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340326282310
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340326283308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340326420032
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340326423915
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340326424467
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340326428345
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1340326430144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340326430156
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340326431122
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340326442979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340326445255
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340326445398
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340326446400
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340326448598
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340326448782
